"precinct","office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","magnitude","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","date","readme_check"
"BESSEMER ABSENTEE","CIRCUIT COURT JUDGE","","","TOTAL",6,"JEFFERSON","01073","JEFFERSON","01073","OVERVOTES","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","FALSE","AL","01","63","41","2020-11-03","FALSE"
"BESSEMER ABSENTEE","CIRCUIT COURT JUDGE","","","TOTAL",2119,"JEFFERSON","01073","JEFFERSON","01073","UNDERVOTES","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","FALSE","AL","01","63","41","2020-11-03","FALSE"
"BESSEMER ABSENTEE","CIRCUIT COURT JUDGE","","","TOTAL",79,"JEFFERSON","01073","JEFFERSON","01073","WRITEIN","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","TRUE","AL","01","63","41","2020-11-03","FALSE"
"BESSEMER ABSENTEE","CIRCUIT COURT JUDGE","DEMOCRAT","DEMOCRAT","TOTAL",11986,"JEFFERSON","01073","JEFFERSON","01073","PATRICK JAMES BALLARD","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","FALSE","AL","01","63","41","2020-11-03","FALSE"
"BIRMINGHAM ABSENTEE","CIRCUIT COURT JUDGE","","","TOTAL",8,"JEFFERSON","01073","JEFFERSON","01073","OVERVOTES","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","FALSE","AL","01","63","41","2020-11-03","FALSE"
"BIRMINGHAM ABSENTEE","CIRCUIT COURT JUDGE","","","TOTAL",7209,"JEFFERSON","01073","JEFFERSON","01073","UNDERVOTES","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","FALSE","AL","01","63","41","2020-11-03","FALSE"
"BIRMINGHAM ABSENTEE","CIRCUIT COURT JUDGE","","","TOTAL",132,"JEFFERSON","01073","JEFFERSON","01073","WRITEIN","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","TRUE","AL","01","63","41","2020-11-03","FALSE"
"BIRMINGHAM ABSENTEE","CIRCUIT COURT JUDGE","DEMOCRAT","DEMOCRAT","TOTAL",27669,"JEFFERSON","01073","JEFFERSON","01073","PATRICK JAMES BALLARD","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","FALSE","AL","01","63","41","2020-11-03","FALSE"
"COUNTY FLOATING","CIRCUIT COURT JUDGE","","","PROVISIONAL",0,"JEFFERSON","01073","JEFFERSON","01073","OVERVOTES","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","FALSE","AL","01","63","41","2020-11-03","FALSE"
"COUNTY FLOATING","CIRCUIT COURT JUDGE","","","PROVISIONAL",410,"JEFFERSON","01073","JEFFERSON","01073","UNDERVOTES","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","FALSE","AL","01","63","41","2020-11-03","FALSE"
"COUNTY FLOATING","CIRCUIT COURT JUDGE","","","PROVISIONAL",10,"JEFFERSON","01073","JEFFERSON","01073","WRITEIN","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","TRUE","AL","01","63","41","2020-11-03","FALSE"
"COUNTY FLOATING","CIRCUIT COURT JUDGE","DEMOCRAT","DEMOCRAT","PROVISIONAL",761,"JEFFERSON","01073","JEFFERSON","01073","PATRICK JAMES BALLARD","CIRCUIT 10, PLACE 10",1,"STATE",2020,"GEN","ALABAMA","FALSE","FALSE","AL","01","63","41","2020-11-03","FALSE"
