countyfips,party_simple,lng,lat,votes
1001,DEMOCRAT,-86.64289976,32.53514228,7503
1001,REPUBLICAN,-86.64289976,32.53514228,19838
1003,DEMOCRAT,-87.72274477,30.72782468,24578
1003,REPUBLICAN,-87.72274477,30.72782468,83544
1005,DEMOCRAT,-85.39106787,31.87009042,4816
1005,REPUBLICAN,-85.39106787,31.87009042,5622
1007,DEMOCRAT,-87.12681433,32.99837607,1986
1007,REPUBLICAN,-87.12681433,32.99837607,7525
1009,DEMOCRAT,-86.5670064,33.98087061,2640
1009,REPUBLICAN,-86.5670064,33.98087061,24711
1011,DEMOCRAT,-85.71572943,32.10045868,3446
1011,REPUBLICAN,-85.71572943,32.10045868,1146
1013,DEMOCRAT,-86.68040924,31.75252432,3965
1013,REPUBLICAN,-86.68040924,31.75252432,5458
1015,DEMOCRAT,-85.82574705,33.77141549,15216
1015,REPUBLICAN,-85.82574705,33.77141549,35101
1017,DEMOCRAT,-85.39168915,32.91366622,6365
1017,REPUBLICAN,-85.39168915,32.91366622,8753
1019,DEMOCRAT,-85.60387066,34.17588713,1624
1019,REPUBLICAN,-85.60387066,34.17588713,10583
1021,DEMOCRAT,-86.71887934,32.84771004,3073
1021,REPUBLICAN,-86.71887934,32.84771004,16085
1023,DEMOCRAT,-88.26305322,32.02019311,3127
1023,REPUBLICAN,-88.26305322,32.02019311,4296
1025,DEMOCRAT,-87.83077181,31.67695451,5755
1025,REPUBLICAN,-87.83077181,31.67695451,7324
1027,DEMOCRAT,-85.8607443,33.26966941,1267
1027,REPUBLICAN,-85.8607443,33.26966941,5601
1029,DEMOCRAT,-85.51786948,33.67495934,675
1029,REPUBLICAN,-85.51786948,33.67495934,6484
1031,DEMOCRAT,-85.98828821,31.40188396,5076
1031,REPUBLICAN,-85.98828821,31.40188396,16899
1033,DEMOCRAT,-87.80463371,34.70085284,8343
1033,REPUBLICAN,-87.80463371,34.70085284,19203
1035,DEMOCRAT,-86.9938237,31.42899352,2966
1035,REPUBLICAN,-86.9938237,31.42899352,3442
