,Name,Alpha code,Numeric code
0,Alabama,AL,1
4,Arizona,AZ,4
5,Arkansas,AR,5
7,California,CA,6
9,Colorado,CO,8
10,Connecticut,CT,9
11,Delaware,DE,10
13,Florida,FL,12
15,Georgia,GA,13
18,Hawaii,HI,15
20,Idaho,ID,16
21,Illinois,IL,17
22,Indiana,IN,18
23,Iowa,IA,19
26,Kansas,KS,20
27,Kentucky,KY,21
30,Maine,ME,23
32,Maryland,MD,24
33,Massachusetts,MA,25
34,Michigan,MI,26
36,Minnesota,MN,27
37,Mississippi,MS,28
38,Missouri,MO,29
39,Montana,MT,30
41,Nebraska,NE,31
42,Nevada,NV,32
43,New Hampshire,NH,33
44,New Jersey,NJ,34
45,New Mexico,NM,35
46,New York,NY,36
47,North Carolina,NC,37
48,North Dakota,ND,38
50,Ohio,OH,39
51,Oklahoma,OK,40
52,Oregon,OR,41
55,Pennsylvania,PA,42
58,Rhode Island,RI,44
59,South Carolina,SC,45
60,South Dakota,SD,46
61,Tennessee,TN,47
62,Texas,TX,48
64,Utah,UT,49
65,Vermont,VT,50
66,Virginia,VA,51
70,Washington,WA,53
71,West Virginia,WV,54
72,Wisconsin,WI,55
73,Wyoming,WY,56
