primarykey,combinedfips,countyfips,statefips,party_simple,lng,lat,votes
1010017503,101001,1001,1,DEMOCRAT,-86.64289976,32.53514228,7503
10100119838,101001,1001,1,REPUBLICAN,-86.64289976,32.53514228,19838
10100324578,101003,1003,1,DEMOCRAT,-87.72274477,30.72782468,24578
10100383544,101003,1003,1,REPUBLICAN,-87.72274477,30.72782468,83544
1010054816,101005,1005,1,DEMOCRAT,-85.39106787,31.87009042,4816
1010055622,101005,1005,1,REPUBLICAN,-85.39106787,31.87009042,5622
1010071986,101007,1007,1,DEMOCRAT,-87.12681433,32.99837607,1986
1010077525,101007,1007,1,REPUBLICAN,-87.12681433,32.99837607,7525
1010092640,101009,1009,1,DEMOCRAT,-86.5670064,33.98087061,2640
10100924711,101009,1009,1,REPUBLICAN,-86.5670064,33.98087061,24711
1010113446,101011,1011,1,DEMOCRAT,-85.71572943,32.10045868,3446
1010111146,101011,1011,1,REPUBLICAN,-85.71572943,32.10045868,1146
1010133965,101013,1013,1,DEMOCRAT,-86.68040924,31.75252432,3965
1010135458,101013,1013,1,REPUBLICAN,-86.68040924,31.75252432,5458
10101515216,101015,1015,1,DEMOCRAT,-85.82574705,33.77141549,15216
10101535101,101015,1015,1,REPUBLICAN,-85.82574705,33.77141549,35101
1010176365,101017,1017,1,DEMOCRAT,-85.39168915,32.91366622,6365
1010178753,101017,1017,1,REPUBLICAN,-85.39168915,32.91366622,8753
1010191624,101019,1019,1,DEMOCRAT,-85.60387066,34.17588713,1624
10101910583,101019,1019,1,REPUBLICAN,-85.60387066,34.17588713,10583
1010213073,101021,1021,1,DEMOCRAT,-86.71887934,32.84771004,3073
10102116085,101021,1021,1,REPUBLICAN,-86.71887934,32.84771004,16085
1010233127,101023,1023,1,DEMOCRAT,-88.26305322,32.02019311,3127
1010234296,101023,1023,1,REPUBLICAN,-88.26305322,32.02019311,4296
1010255755,101025,1025,1,DEMOCRAT,-87.83077181,31.67695451,5755
1010257324,101025,1025,1,REPUBLICAN,-87.83077181,31.67695451,7324
1010271267,101027,1027,1,DEMOCRAT,-85.8607443,33.26966941,1267
1010275601,101027,1027,1,REPUBLICAN,-85.8607443,33.26966941,5601
101029675,101029,1029,1,DEMOCRAT,-85.51786948,33.67495934,675
1010296484,101029,1029,1,REPUBLICAN,-85.51786948,33.67495934,6484
1010315076,101031,1031,1,DEMOCRAT,-85.98828821,31.40188396,5076
10103116899,101031,1031,1,REPUBLICAN,-85.98828821,31.40188396,16899
1010338343,101033,1033,1,DEMOCRAT,-87.80463371,34.70085284,8343
10103319203,101033,1033,1,REPUBLICAN,-87.80463371,34.70085284,19203
1010352966,101035,1035,1,DEMOCRAT,-86.9938237,31.42899352,2966
1010353442,101035,1035,1,REPUBLICAN,-86.9938237,31.42899352,3442
1010371796,101037,1037,1,DEMOCRAT,-86.24789409,32.9362956,1796
1010373631,101037,1037,1,REPUBLICAN,-86.24789409,32.9362956,3631
1010392721,101039,1039,1,DEMOCRAT,-86.45142629,31.24861005,2721
10103914586,101039,1039,1,REPUBLICAN,-86.45142629,31.24861005,14586
1010411700,101041,1041,1,DEMOCRAT,-86.31341907,31.73169775,1700
1010414864,101041,1041,1,REPUBLICAN,-86.31341907,31.73169775,4864
1010434478,101043,1043,1,DEMOCRAT,-86.86718877,34.13183982,4478
10104336880,101043,1043,1,REPUBLICAN,-86.86718877,34.13183982,36880
1010455170,101045,1045,1,DEMOCRAT,-85.611081,31.43204363,5170
10104514303,101045,1045,1,REPUBLICAN,-85.611081,31.43204363,14303
10104712230,101047,1047,1,DEMOCRAT,-87.10649231,32.32606741,12230
1010475524,101047,1047,1,REPUBLICAN,-87.10649231,32.32606741,5524
1010494281,101049,1049,1,DEMOCRAT,-85.80378574,34.46023769,4281
10104924767,101049,1049,1,REPUBLICAN,-85.80378574,34.46023769,24767
10105110367,101051,1051,1,DEMOCRAT,-86.14884036,32.59724126,10367
10105130164,101051,1051,1,REPUBLICAN,-86.14884036,32.59724126,30164
1010534918,101053,1053,1,DEMOCRAT,-87.16176056,31.12613571,4918
10105310869,101053,1053,1,REPUBLICAN,-87.16176056,31.12613571,10869
10105511567,101055,1055,1,DEMOCRAT,-86.03476854,34.04518886,11567
10105535528,101055,1055,1,REPUBLICAN,-86.03476854,34.04518886,35528
1010571395,101057,1057,1,DEMOCRAT,-87.73924331,33.72117266,1395
1010577300,101057,1057,1,REPUBLICAN,-87.73924331,33.72117266,7300
1010592086,101059,1059,1,DEMOCRAT,-87.843283,34.44238135,2086
10105910376,101059,1059,1,REPUBLICAN,-87.843283,34.44238135,10376
