combinedfips,countyfips,statefips,party,lng,lat,votes
101001,1001,1,democratic,-86.64289976,32.53514228,9847
101001,1001,1,republican,-86.64289976,32.53514228,26288
101003,1003,1,democratic,-87.72274477,30.72782468,28742
101003,1003,1,republican,-87.72274477,30.72782468,114309
101005,1005,1,democratic,-85.39106787,31.87009042,8931
101005,1005,1,republican,-85.39106787,31.87009042,7437
101007,1007,1,democratic,-87.12681433,32.99837607,3397
101007,1007,1,republican,-87.12681433,32.99837607,10285
101009,1009,1,democratic,-86.5670064,33.98087061,3376
101009,1009,1,republican,-86.5670064,33.98087061,34840
101011,1011,1,democratic,-85.71572943,32.10045868,6448
101011,1011,1,republican,-85.71572943,32.10045868,1415
101013,1013,1,democratic,-86.68040924,31.75252432,6598
101013,1013,1,republican,-86.68040924,31.75252432,6712
101015,1015,1,democratic,-85.82574705,33.77141549,22033
101015,1015,1,republican,-85.82574705,33.77141549,49648
101017,1017,1,democratic,-85.39168915,32.91366622,10489
101017,1017,1,republican,-85.39168915,32.91366622,11482
101019,1019,1,democratic,-85.60387066,34.17588713,2403
101019,1019,1,republican,-85.60387066,34.17588713,12345
101021,1021,1,democratic,-86.71887934,32.84771004,4418
101021,1021,1,republican,-86.71887934,32.84771004,21276
101023,1023,1,democratic,-88.26305322,32.02019311,5661
101023,1023,1,republican,-88.26305322,32.02019311,5532
101025,1025,1,democratic,-87.83077181,31.67695451,10427
101025,1025,1,republican,-87.83077181,31.67695451,10564
101027,1027,1,democratic,-85.8607443,33.26966941,2024
101027,1027,1,republican,-85.8607443,33.26966941,6985
101029,1029,1,democratic,-85.51786948,33.67495934,1050
101029,1029,1,republican,-85.51786948,33.67495934,8610
101031,1031,1,democratic,-85.98828821,31.40188396,7103
101031,1031,1,republican,-85.98828821,31.40188396,21979
101033,1033,1,democratic,-87.80463371,34.70085284,12769
101033,1033,1,republican,-87.80463371,34.70085284,23544
101035,1035,1,democratic,-86.9938237,31.42899352,5788
101035,1035,1,republican,-86.9938237,31.42899352,4681
101037,1037,1,democratic,-86.24789409,32.9362956,3071
101037,1037,1,republican,-86.24789409,32.9362956,5057
101039,1039,1,democratic,-86.45142629,31.24861005,4094
101039,1039,1,republican,-86.45142629,31.24861005,18858
101041,1041,1,democratic,-86.31341907,31.73169775,2991
101041,1041,1,republican,-86.31341907,31.73169775,6103
101043,1043,1,democratic,-86.86718877,34.13183982,5937
101043,1043,1,republican,-86.86718877,34.13183982,49693
101045,1045,1,democratic,-85.611081,31.43204363,7471
101045,1045,1,republican,-85.611081,31.43204363,19218
101047,1047,1,democratic,-87.10649231,32.32606741,23351
101047,1047,1,republican,-87.10649231,32.32606741,7825
101049,1049,1,democratic,-85.80378574,34.46023769,5884
101049,1049,1,republican,-85.80378574,34.46023769,31582
101051,1051,1,democratic,-86.14884036,32.59724126,13091
101051,1051,1,republican,-86.14884036,32.59724126,38190
101053,1053,1,democratic,-87.16176056,31.12613571,8394
101053,1053,1,republican,-87.16176056,31.12613571,14433
101055,1055,1,democratic,-86.03476854,34.04518886,17993
101055,1055,1,republican,-86.03476854,34.04518886,47883
101057,1057,1,democratic,-87.73924331,33.72117266,2268
101057,1057,1,republican,-87.73924331,33.72117266,9677
101059,1059,1,democratic,-87.843283,34.44238135,3420
101059,1059,1,republican,-87.843283,34.44238135,12180
101061,1061,1,democratic,-85.83932953,31.09486905,2530
101061,1061,1,republican,-85.83932953,31.09486905,13426
101063,1063,1,democratic,-87.95276818,32.853304,7555
101063,1063,1,republican,-87.95276818,32.853304,1209
101065,1065,1,democratic,-87.62930576,32.7625948,8983
101065,1065,1,republican,-87.62930576,32.7625948,4556
101067,1067,1,democratic,-85.24094152,31.51487991,4065
101067,1067,1,republican,-85.24094152,31.51487991,7625
101069,1069,1,democratic,-85.30251402,31.15295179,18125
101069,1069,1,republican,-85.30251402,31.15295179,41339
101071,1071,1,democratic,-85.99947584,34.77954231,5723
101071,1071,1,republican,-85.99947584,34.77954231,23121
101073,1073,1,democratic,-86.89657084,33.5543433,271925
101073,1073,1,republican,-86.89657084,33.5543433,216282
101075,1075,1,democratic,-88.09715315,33.77909349,1768
